Word,Count
federation,491
russian,468
shall,383
state,214
federal,163
article,143
government,110
law,109
1,106
2,106
president,90
duma,85
constitution,77
bodies,77
oblast,64
right,64
3,62
other,61
council,59
constituent,57
constitutional,50
rights,47
entities,45
accordance,45
court,44
laws,42
established,38
its,38
(her),37
procedure,37
everyone,35
federation;,34
freedoms,32
autonomous,31
local,30
adopted,29
4,28
powers,28
deputies,28
republic,26
citizens,26
human,25
self-government,25
international,25
legal,24
protection,23
within,23
public,23
chairman,23
civil,22
basis,22
power,21
executive,21
cases,20
issues,20
territory,19
guaranteed,18
order,18
general,18
event,18
5,17
legislative,17
principles,16
between,16
force,16
provisions,16
after,16
members,16
-,15
supreme,15
authority,15
social,15
ensure,14
envisaged,14
recognized,14
any,14
jurisdiction,14
people,13
system,13
exercise,13
nobody,13
under,13
equal,13
property,13
into,13
judges,13
number,13
health,12
provided,12
judicial,12
assembly,12
courts,12
treaties,12
acts,12
been,12
basic,12
implementation,12
use,12
education,12
determined,12
crime,12
has,12
total,12
chapter,11
free,11
elections,11
kray,11
okrug,11
economic,11
except,11
conflict,11
only,11
work,11
elected,11
office,11
foreign,11
entity,11
prosecutor,11
prosecutors,11
before,10
cities,10
life,10
security,10
treaty,10
activities,10
normative,10
status,10
person,10
permitted,10
years,10
new,10
appoint,10
issue,10
deputy,10
decision,10
republics,9
significance,9
citizen,9
policy,9
protected,9
resources,9
activity,9
municipal,9
those,9
associations,9
national,9
until,9
freely,9
establish,9
days,9
over,9
less,9
resignation,9
term,9
appointed,9
land,8
direct,8
referendum,8
labour,8
natural,8
language,8
accused,8
including,8
representatives,8
resolution,8
budget,8
protect,8
taxes,8
body,8
regulations,8
charges,8
justice,7
russia,7
adopt,7
form,7
entire,7
krays,7
oblasts,7
okrugs,7
legislation,7
division,7
citizenship,7
freedom,7
private,7
forms,7
exercised,7
authorities,7
religious,7
prohibited,7
persons,7
case,7
provide,7
receive,7
hold,7
service,7
care,7
cultural,7
military,7
following,7
law;,7
